
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server

  2024-10-25 20:34:54 / ....................................................................................... ~ 10s
  2024-10-25 20:34:54 /login .................................................................................. ~ 11s
  2024-10-25 20:35:06 /build/assets/app-B2VwMapJ.css ..................................................... ~ 501.05ms
  2024-10-25 20:35:06 /build/assets/app-DI6-W-r-.js ...................................................... ~ 504.94ms
  2024-10-25 20:35:06 /assets/img/au_logo.png ............................................................ ~ 507.42ms
  2024-10-25 20:35:06 /favicon.ico ......................................................................... ~ 0.40ms
  2024-10-25 20:35:22 /login ................................................................................... ~ 2s
  2024-10-25 20:35:22 / ........................................................................................ ~ 2s
  2024-10-25 20:35:24 /assets/vendor/bootstrap/css/bootstrap.min.css ...................................... ~ 20.02ms
  2024-10-25 20:35:24 /assets/vendor/bootstrap-icons/bootstrap-icons.css .................................. ~ 23.43ms
  2024-10-25 20:35:24 /assets/vendor/boxicons/css/boxicons.min.css ........................................ ~ 26.52ms
  2024-10-25 20:35:24 /assets/vendor/quill/quill.snow.css .................................................. ~ 0.75ms
  2024-10-25 20:35:24 /assets/vendor/quill/quill.bubble.css ................................................ ~ 3.55ms
  2024-10-25 20:35:24 /assets/vendor/remixicon/remixicon.css ............................................... ~ 7.32ms
  2024-10-25 20:35:24 /assets/vendor/simple-datatables/style.css ........................................... ~ 7.11ms
  2024-10-25 20:35:24 /assets/css/style.css .............................................................. ~ 504.90ms
  2024-10-25 20:35:24 /assets/img/profile-img.jpg ........................................................ ~ 504.01ms
  2024-10-25 20:35:25 /assets/img/au_logo.jpg ............................................................. ~ 25.35ms
  2024-10-25 20:35:24 /assets/vendor/apexcharts/apexcharts.min.js ........................................ ~ 529.21ms
  2024-10-25 20:35:25 /assets/vendor/chart.js/chart.umd.js ............................................... ~ 513.95ms
  2024-10-25 20:35:25 /assets/vendor/bootstrap/js/bootstrap.bundle.min.js ................................ ~ 519.21ms
  2024-10-25 20:35:25 /assets/vendor/echarts/echarts.min.js .............................................. ~ 522.95ms
  2024-10-25 20:35:25 /assets/vendor/quill/quill.js ...................................................... ~ 504.58ms
  2024-10-25 20:35:25 /assets/vendor/simple-datatables/simple-datatables.js .............................. ~ 504.23ms
  2024-10-25 20:35:25 /assets/vendor/tinymce/tinymce.min.js .............................................. ~ 505.98ms
  2024-10-25 20:35:26 /assets/vendor/php-email-form/validate.js ............................................ ~ 0.40ms
  2024-10-25 20:35:26 /assets/js/main.js ................................................................... ~ 2.03ms
  2024-10-25 20:35:26 /assets/vendor/bootstrap-icons/fonts/bootstrap-icons.woff2?dd67030699838ea613ee6dbda90effa6  ~ 0.25ms
  2024-10-25 20:35:26 /assets/img/logo.png ................................................................. ~ 0.27ms
  2024-10-25 20:38:29 / ........................................................................................ ~ 4s
  2024-10-25 20:38:29 /assets/vendor/bootstrap/css/bootstrap.min.css ........................................... ~ 5s
